"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"GXO","GXO Logistics, Inc.","Common stocks","Mid cap","Industrials","$5,096,174,785","0.00%","USA","Analyze"
"SKX","Skechers USA Inc","Common stocks","Mid cap","Consumer Discretionary","$5,094,751,582","0.00%","USA","Analyze"
"EME","Emcor Group Inc","Common stocks","Mid cap","Industrials","$5,088,112,009","0.52%","USA","Analyze"
"SON","Sonoco Products","Common stocks","Mid cap","Materials","$5,086,211,375","3.50%","USA","Analyze"
"CW","Curtiss Wright Corp","Common stocks","Mid cap","Industrials","$5,054,420,814","0.55%","USA","Analyze"
"CR","Crane","Common stocks","Mid cap","Industrials","$5,034,308,608","2.09%","USA","Analyze"
"SRC","Spirit Realty Capital, Inc","REITs","Mid cap","Real Estate","$5,016,417,470","6.66%","USA","Analyze"
"CCMP","Cabot Microelectronics Corp","Common stocks","Mid cap","Information Technology","$4,988,895,885","0.79%","USA","Analyze"
"THG","Hanover Insurance Group Inc","Common stocks","Mid cap","Financials","$4,979,787,780","2.09%","USA","Analyze"
"IDA","IDACORP, Inc.","Common stocks","Mid cap","Utilities","$4,967,943,455","2.98%","USA","Analyze"
"RLI","RLI Corp","Common stocks","Mid cap","Financials","$4,938,542,257","0.92%","USA","Analyze"
"SAIC","Science Applications International","Common stocks","Mid cap","Industrials","$4,930,795,531","2.08%","USA","Analyze"
"RUN","Sunrun Inc","Common stocks","Mid cap","Industrials","$4,925,037,305","0.00%","USA","Analyze"
"BC","Brunswick Corp","Common stocks","Mid cap","Consumer Discretionary","$4,889,880,741","2.15%","USA","Analyze"
"CC","Chemours Company","Common stocks","Mid cap","Materials","$4,887,940,707","3.14%","USA","Analyze"
"NYT","New York Times Class A","Common stocks","Mid cap","Communication Services","$4,849,290,433","1.03%","USA","Analyze"
"TXRH","Texas Roadhouse Inc","Common stocks","Mid cap","Consumer Discretionary","$4,839,924,379","2.40%","USA","Analyze"
"WTFC","Wintrust Financial Corp","Common stocks","Mid cap","Financials","$4,838,745,083","1.62%","USA","Analyze"
"TOL","Toll Brothers Inc","Common stocks","Mid cap","Consumer Discretionary","$4,834,782,850","1.68%","USA","Analyze"
